Address,Type,City,SalePrice_USD,Agent
1 Rowley Street ,Detached House,New York,745000,Penelope Pullman 
13a lollipop avenue,Apartment,Los Angeles,345000,Jack Smith 
34 the drive,House,Atlanta,459000,Sheila Sammi
,Detached House,New York,356759,Jack Smith 
,Detached House,New York,779211,Jack Smith 
,Apartment,New York,386165,Jack Smith 
,House,Los Angeles,577173,Sheila Sammi
,Detached House,Los Angeles,125755,Sheila Sammi
,Apartment,Atlanta,508855,Penelope Pullman 
,House,Atlanta,820957,Penelope Pullman 
,Detached House,New York,351530,Penelope Pullman 
,Detached House,Atlanta,606837,Penelope Pullman 
,Apartment,New York,310647,Penelope Pullman 
,House,New York,178617,Sheila Sammi
,House,New York,213026,Sheila Sammi
,House,Los Angeles,556886,Jack Smith 
,House,Los Angeles,698990,Sheila Sammi
